policyholder_id,age,premium,frequency,annuity_payments
1,60,208966.81526766246,annual,90000
2,27,10382.300357586022,annual,90000
3,21,7380.490257362086,annual,90000
4,37,19250.636199062217,annual,90000
5,35,16901.224991259136,annual,90000
6,34,15859.680748177727,annual,90000
7,28,11008.601732360285,annual,90000
8,26,9796.903090396747,annual,90000
9,54,80452.67134089895,annual,90000
10,25,9249.17129119472,annual,90000
11,57,120255.18686989367,annual,90000
12,47,40287.23051242681,annual,90000
13,22,7804.128047730211,annual,90000
14,21,7380.490257362086,annual,90000
15,25,9249.17129119472,annual,90000
16,33,14895.499489914984,annual,90000
17,34,15859.680748177727,annual,90000
18,52,64351.806336214395,annual,90000
19,58,141282.68228562735,annual,90000
20,21,7380.490257362086,annual,90000
21,55,91005.81246955584,annual,90000
22,32,14001.425334833166,annual,90000
23,54,80452.67134089895,annual,90000
24,46,37076.00567602293,annual,90000
25,34,15859.680748177727,annual,90000
26,48,43905.878087580415,annual,90000
27,57,120255.18686989367,annual,90000
28,37,19250.636199062217,annual,90000
29,20,6982.407484340589,annual,90000
30,30,12398.729434295965,annual,90000
31,47,40287.23051242681,annual,90000
32,41,25334.5433005938,annual,90000
33,37,19250.636199062217,annual,90000
34,29,11679.40686123894,annual,90000
35,33,14895.499489914984,annual,90000
36,41,25334.5433005938,annual,90000
37,26,9796.903090396747,annual,90000
38,25,9249.17129119472,annual,90000
39,44,31641.11227989534,annual,90000
40,26,9796.903090396747,annual,90000
41,42,27233.9548384463,annual,90000
42,42,27233.9548384463,annual,90000
43,58,141282.68228562735,annual,90000
44,36,18028.394480813804,annual,90000
45,22,7804.128047730211,annual,90000
46,49,48008.99672468897,annual,90000
47,54,80452.67134089895,annual,90000
48,27,10382.300357586022,annual,90000
49,44,31641.11227989534,annual,90000
50,25,9249.17129119472,annual,90000
51,55,91005.81246955584,annual,90000
52,38,20578.799221523488,annual,90000
53,60,208966.81526766246,annual,90000
54,59,169428.32511477164,annual,90000
55,43,29326.793830249957,annual,90000
56,56,103971.13739792288,annual,90000
57,32,14001.425334833166,annual,90000
58,24,8736.184335389007,annual,90000
59,22,7804.128047730211,annual,90000
60,34,15859.680748177727,annual,90000
61,38,20578.799221523488,annual,90000
62,25,9249.17129119472,annual,90000
63,34,15859.680748177727,annual,90000
64,26,9796.903090396747,annual,90000
65,44,31641.11227989534,annual,90000
66,37,19250.636199062217,annual,90000
67,49,48008.99672468897,annual,90000
68,60,208966.81526766246,annual,90000
69,43,29326.793830249957,annual,90000
70,30,12398.729434295965,annual,90000
71,43,29326.793830249957,annual,90000
72,42,27233.9548384463,annual,90000
73,33,14895.499489914984,annual,90000
74,37,19250.636199062217,annual,90000
75,24,8736.184335389007,annual,90000
76,58,141282.68228562735,annual,90000
77,60,208966.81526766246,annual,90000
78,30,12398.729434295965,annual,90000
79,54,80452.67134089895,annual,90000
80,35,16901.224991259136,annual,90000
81,30,12398.729434295965,annual,90000
82,49,48008.99672468897,annual,90000
83,44,31641.11227989534,annual,90000
84,37,19250.636199062217,annual,90000
85,60,208966.81526766246,annual,90000
86,55,91005.81246955584,annual,90000
87,34,15859.680748177727,annual,90000
88,40,23605.002338179533,annual,90000
89,23,8255.301135070287,annual,90000
90,34,15859.680748177727,annual,90000
91,22,7804.128047730211,annual,90000
92,40,23605.002338179533,annual,90000
93,45,34210.588419718326,annual,90000
94,37,19250.636199062217,annual,90000
95,24,8736.184335389007,annual,90000
96,33,14895.499489914984,annual,90000
97,56,103971.13739792288,annual,90000
98,40,23605.002338179533,annual,90000
99,33,14895.499489914984,annual,90000
100,51,58087.075115219464,annual,90000
101,45,34210.588419718326,annual,90000
102,49,48008.99672468897,annual,90000
103,29,11679.40686123894,annual,90000
104,36,18028.394480813804,annual,90000
105,28,11008.601732360285,annual,90000
106,35,16901.224991259136,annual,90000
107,55,91005.81246955584,annual,90000
108,54,80452.67134089895,annual,90000
109,36,18028.394480813804,annual,90000
110,57,120255.18686989367,annual,90000
111,47,40287.23051242681,annual,90000
112,57,120255.18686989367,annual,90000
113,45,34210.588419718326,annual,90000
114,43,29326.793830249957,annual,90000
115,34,15859.680748177727,annual,90000
116,28,11008.601732360285,annual,90000
117,52,64351.806336214395,annual,90000
118,51,58087.075115219464,annual,90000
119,25,9249.17129119472,annual,90000
120,23,8255.301135070287,annual,90000
121,27,10382.300357586022,annual,90000
122,29,11679.40686123894,annual,90000
123,60,208966.81526766246,annual,90000
124,30,12398.729434295965,annual,90000
125,47,40287.23051242681,annual,90000
126,58,141282.68228562735,annual,90000
127,24,8736.184335389007,annual,90000
128,44,31641.11227989534,annual,90000
129,44,31641.11227989534,annual,90000
130,58,141282.68228562735,annual,90000
131,49,48008.99672468897,annual,90000
132,53,71707.43124514962,annual,90000
133,36,18028.394480813804,annual,90000
134,55,91005.81246955584,annual,90000
135,20,6982.407484340589,annual,90000
136,27,10382.300357586022,annual,90000
137,54,80452.67134089895,annual,90000
138,37,19250.636199062217,annual,90000
139,41,25334.5433005938,annual,90000
140,27,10382.300357586022,annual,90000
141,38,20578.799221523488,annual,90000
142,47,40287.23051242681,annual,90000
143,30,12398.729434295965,annual,90000
144,49,48008.99672468897,annual,90000
145,20,6982.407484340589,annual,90000
146,36,18028.394480813804,annual,90000
147,52,64351.806336214395,annual,90000
148,31,13171.057622254482,annual,90000
149,52,64351.806336214395,annual,90000
150,26,9796.903090396747,annual,90000
151,60,208966.81526766246,annual,90000
152,39,22025.409241364145,annual,90000
153,60,208966.81526766246,annual,90000
154,52,64351.806336214395,annual,90000
155,58,141282.68228562735,annual,90000
156,32,14001.425334833166,annual,90000
157,29,11679.40686123894,annual,90000
158,43,29326.793830249957,annual,90000
159,30,12398.729434295965,annual,90000
160,54,80452.67134089895,annual,90000
161,53,71707.43124514962,annual,90000
162,20,6982.407484340589,annual,90000
163,58,141282.68228562735,annual,90000
164,40,23605.002338179533,annual,90000
165,51,58087.075115219464,annual,90000
166,21,7380.490257362086,annual,90000
167,27,10382.300357586022,annual,90000
168,43,29326.793830249957,annual,90000
169,39,22025.409241364145,annual,90000
170,35,16901.224991259136,annual,90000
171,23,8255.301135070287,annual,90000
172,35,16901.224991259136,annual,90000
173,56,103971.13739792288,annual,90000
174,25,9249.17129119472,annual,90000
175,25,9249.17129119472,annual,90000
176,51,58087.075115219464,annual,90000
177,24,8736.184335389007,annual,90000
178,54,80452.67134089895,annual,90000
179,28,11008.601732360285,annual,90000
180,28,11008.601732360285,annual,90000
181,50,52694.21210742529,annual,90000
182,55,91005.81246955584,annual,90000
183,30,12398.729434295965,annual,90000
184,36,18028.394480813804,annual,90000
185,53,71707.43124514962,annual,90000
186,58,141282.68228562735,annual,90000
187,47,40287.23051242681,annual,90000
188,33,14895.499489914984,annual,90000
189,54,80452.67134089895,annual,90000
190,32,14001.425334833166,annual,90000
191,39,22025.409241364145,annual,90000
192,45,34210.588419718326,annual,90000
193,43,29326.793830249957,annual,90000
194,48,43905.878087580415,annual,90000
195,53,71707.43124514962,annual,90000
196,48,43905.878087580415,annual,90000
197,27,10382.300357586022,annual,90000
198,35,16901.224991259136,annual,90000
199,34,15859.680748177727,annual,90000
200,24,8736.184335389007,annual,90000
201,41,25334.5433005938,annual,90000
202,21,7380.490257362086,annual,90000
203,57,120255.18686989367,annual,90000
204,55,91005.81246955584,annual,90000
205,34,15859.680748177727,annual,90000
206,57,120255.18686989367,annual,90000
207,34,15859.680748177727,annual,90000
208,20,6982.407484340589,annual,90000
209,24,8736.184335389007,annual,90000
210,60,208966.81526766246,annual,90000
211,23,8255.301135070287,annual,90000
212,34,15859.680748177727,annual,90000
213,24,8736.184335389007,annual,90000
214,22,7804.128047730211,annual,90000
215,41,25334.5433005938,annual,90000
216,24,8736.184335389007,annual,90000
217,52,64351.806336214395,annual,90000
218,35,16901.224991259136,annual,90000
219,37,19250.636199062217,annual,90000
220,51,58087.075115219464,annual,90000
221,33,14895.499489914984,annual,90000
222,54,80452.67134089895,annual,90000
223,28,11008.601732360285,annual,90000
224,56,103971.13739792288,annual,90000
225,56,103971.13739792288,annual,90000
226,50,52694.21210742529,annual,90000
227,35,16901.224991259136,annual,90000
228,50,52694.21210742529,annual,90000
229,46,37076.00567602293,annual,90000
230,32,14001.425334833166,annual,90000
231,26,9796.903090396747,annual,90000
232,26,9796.903090396747,annual,90000
233,47,40287.23051242681,annual,90000
234,42,27233.9548384463,annual,90000
235,47,40287.23051242681,annual,90000
236,46,37076.00567602293,annual,90000
237,49,48008.99672468897,annual,90000
238,23,8255.301135070287,annual,90000
239,26,9796.903090396747,annual,90000
240,23,8255.301135070287,annual,90000
241,45,34210.588419718326,annual,90000
242,41,25334.5433005938,annual,90000
243,26,9796.903090396747,annual,90000
244,35,16901.224991259136,annual,90000
245,32,14001.425334833166,annual,90000
246,32,14001.425334833166,annual,90000
247,54,80452.67134089895,annual,90000
248,48,43905.878087580415,annual,90000
249,28,11008.601732360285,annual,90000
250,47,40287.23051242681,annual,90000
251,31,13171.057622254482,annual,90000
252,37,19250.636199062217,annual,90000
253,49,48008.99672468897,annual,90000
254,35,16901.224991259136,annual,90000
255,24,8736.184335389007,annual,90000
256,48,43905.878087580415,annual,90000
257,55,91005.81246955584,annual,90000
258,26,9796.903090396747,annual,90000
259,23,8255.301135070287,annual,90000
260,54,80452.67134089895,annual,90000
261,20,6982.407484340589,annual,90000
262,25,9249.17129119472,annual,90000
263,35,16901.224991259136,annual,90000
264,30,12398.729434295965,annual,90000
265,46,37076.00567602293,annual,90000
266,51,58087.075115219464,annual,90000
267,50,52694.21210742529,annual,90000
268,33,14895.499489914984,annual,90000
269,45,34210.588419718326,annual,90000
270,23,8255.301135070287,annual,90000
271,30,12398.729434295965,annual,90000
272,44,31641.11227989534,annual,90000
273,20,6982.407484340589,annual,90000
274,44,31641.11227989534,annual,90000
275,36,18028.394480813804,annual,90000
276,49,48008.99672468897,annual,90000
277,38,20578.799221523488,annual,90000
278,47,40287.23051242681,annual,90000
279,55,91005.81246955584,annual,90000
280,51,58087.075115219464,annual,90000
281,29,11679.40686123894,annual,90000
282,32,14001.425334833166,annual,90000
283,38,20578.799221523488,annual,90000
284,33,14895.499489914984,annual,90000
285,23,8255.301135070287,annual,90000
286,57,120255.18686989367,annual,90000
287,54,80452.67134089895,annual,90000
288,23,8255.301135070287,annual,90000
289,40,23605.002338179533,annual,90000
290,23,8255.301135070287,annual,90000
291,23,8255.301135070287,annual,90000
292,57,120255.18686989367,annual,90000
293,50,52694.21210742529,annual,90000
294,52,64351.806336214395,annual,90000
295,53,71707.43124514962,annual,90000
296,30,12398.729434295965,annual,90000
297,23,8255.301135070287,annual,90000
298,52,64351.806336214395,annual,90000
299,25,9249.17129119472,annual,90000
300,31,13171.057622254482,annual,90000
301,24,8736.184335389007,annual,90000
302,58,141282.68228562735,annual,90000
303,24,8736.184335389007,annual,90000
304,35,16901.224991259136,annual,90000
305,45,34210.588419718326,annual,90000
306,27,10382.300357586022,annual,90000
307,56,103971.13739792288,annual,90000
308,35,16901.224991259136,annual,90000
309,57,120255.18686989367,annual,90000
310,58,141282.68228562735,annual,90000
311,22,7804.128047730211,annual,90000
312,59,169428.32511477164,annual,90000
313,25,9249.17129119472,annual,90000
314,46,37076.00567602293,annual,90000
315,57,120255.18686989367,annual,90000
316,56,103971.13739792288,annual,90000
317,53,71707.43124514962,annual,90000
318,40,23605.002338179533,annual,90000
319,36,18028.394480813804,annual,90000
320,33,14895.499489914984,annual,90000
321,40,23605.002338179533,annual,90000
322,35,16901.224991259136,annual,90000
323,36,18028.394480813804,annual,90000
324,45,34210.588419718326,annual,90000
325,28,11008.601732360285,annual,90000
326,39,22025.409241364145,annual,90000
327,49,48008.99672468897,annual,90000
328,40,23605.002338179533,annual,90000
329,24,8736.184335389007,annual,90000
330,20,6982.407484340589,annual,90000
331,49,48008.99672468897,annual,90000
332,59,169428.32511477164,annual,90000
333,56,103971.13739792288,annual,90000
334,26,9796.903090396747,annual,90000
335,24,8736.184335389007,annual,90000
336,54,80452.67134089895,annual,90000
337,33,14895.499489914984,annual,90000
338,52,64351.806336214395,annual,90000
339,36,18028.394480813804,annual,90000
340,28,11008.601732360285,annual,90000
341,42,27233.9548384463,annual,90000
342,24,8736.184335389007,annual,90000
343,35,16901.224991259136,annual,90000
344,43,29326.793830249957,annual,90000
345,38,20578.799221523488,annual,90000
346,30,12398.729434295965,annual,90000
347,48,43905.878087580415,annual,90000
348,54,80452.67134089895,annual,90000
349,39,22025.409241364145,annual,90000
350,59,169428.32511477164,annual,90000
351,53,71707.43124514962,annual,90000
352,20,6982.407484340589,annual,90000
353,55,91005.81246955584,annual,90000
354,39,22025.409241364145,annual,90000
355,26,9796.903090396747,annual,90000
356,28,11008.601732360285,annual,90000
357,36,18028.394480813804,annual,90000
358,27,10382.300357586022,annual,90000
359,26,9796.903090396747,annual,90000
360,55,91005.81246955584,annual,90000
361,29,11679.40686123894,annual,90000
362,37,19250.636199062217,annual,90000
363,38,20578.799221523488,annual,90000
364,58,141282.68228562735,annual,90000
365,33,14895.499489914984,annual,90000
366,41,25334.5433005938,annual,90000
367,33,14895.499489914984,annual,90000
368,60,208966.81526766246,annual,90000
369,36,18028.394480813804,annual,90000
370,52,64351.806336214395,annual,90000
371,51,58087.075115219464,annual,90000
372,36,18028.394480813804,annual,90000
373,23,8255.301135070287,annual,90000
374,25,9249.17129119472,annual,90000
375,60,208966.81526766246,annual,90000
376,47,40287.23051242681,annual,90000
377,37,19250.636199062217,annual,90000
378,22,7804.128047730211,annual,90000
379,20,6982.407484340589,annual,90000
380,41,25334.5433005938,annual,90000
381,28,11008.601732360285,annual,90000
382,60,208966.81526766246,annual,90000
383,36,18028.394480813804,annual,90000
384,30,12398.729434295965,annual,90000
385,48,43905.878087580415,annual,90000
386,55,91005.81246955584,annual,90000
387,47,40287.23051242681,annual,90000
388,55,91005.81246955584,annual,90000
389,20,6982.407484340589,annual,90000
390,27,10382.300357586022,annual,90000
391,24,8736.184335389007,annual,90000
392,29,11679.40686123894,annual,90000
393,54,80452.67134089895,annual,90000
394,22,7804.128047730211,annual,90000
395,43,29326.793830249957,annual,90000
396,57,120255.18686989367,annual,90000
397,55,91005.81246955584,annual,90000
398,29,11679.40686123894,annual,90000
399,47,40287.23051242681,annual,90000
400,28,11008.601732360285,annual,90000
401,22,7804.128047730211,annual,90000
402,39,22025.409241364145,annual,90000
403,43,29326.793830249957,annual,90000
404,22,7804.128047730211,annual,90000
405,42,27233.9548384463,annual,90000
406,33,14895.499489914984,annual,90000
407,35,16901.224991259136,annual,90000
408,26,9796.903090396747,annual,90000
409,42,27233.9548384463,annual,90000
410,55,91005.81246955584,annual,90000
411,46,37076.00567602293,annual,90000
412,59,169428.32511477164,annual,90000
413,29,11679.40686123894,annual,90000
414,35,16901.224991259136,annual,90000
415,30,12398.729434295965,annual,90000
416,31,13171.057622254482,annual,90000
417,46,37076.00567602293,annual,90000
418,21,7380.490257362086,annual,90000
419,31,13171.057622254482,annual,90000
420,41,25334.5433005938,annual,90000
421,46,37076.00567602293,annual,90000
422,35,16901.224991259136,annual,90000
423,37,19250.636199062217,annual,90000
424,30,12398.729434295965,annual,90000
425,26,9796.903090396747,annual,90000
426,44,31641.11227989534,annual,90000
427,22,7804.128047730211,annual,90000
428,50,52694.21210742529,annual,90000
429,34,15859.680748177727,annual,90000
430,32,14001.425334833166,annual,90000
431,49,48008.99672468897,annual,90000
432,42,27233.9548384463,annual,90000
433,39,22025.409241364145,annual,90000
434,34,15859.680748177727,annual,90000
435,34,15859.680748177727,annual,90000
436,21,7380.490257362086,annual,90000
437,32,14001.425334833166,annual,90000
438,45,34210.588419718326,annual,90000
439,41,25334.5433005938,annual,90000
440,37,19250.636199062217,annual,90000
441,24,8736.184335389007,annual,90000
442,37,19250.636199062217,annual,90000
443,42,27233.9548384463,annual,90000
444,52,64351.806336214395,annual,90000
445,45,34210.588419718326,annual,90000
446,54,80452.67134089895,annual,90000
447,41,25334.5433005938,annual,90000
448,21,7380.490257362086,annual,90000
449,27,10382.300357586022,annual,90000
450,36,18028.394480813804,annual,90000
451,31,13171.057622254482,annual,90000
452,57,120255.18686989367,annual,90000
453,36,18028.394480813804,annual,90000
454,22,7804.128047730211,annual,90000
455,26,9796.903090396747,annual,90000
456,58,141282.68228562735,annual,90000
457,47,40287.23051242681,annual,90000
458,42,27233.9548384463,annual,90000
459,40,23605.002338179533,annual,90000
460,47,40287.23051242681,annual,90000
461,58,141282.68228562735,annual,90000
462,52,64351.806336214395,annual,90000
463,27,10382.300357586022,annual,90000
464,44,31641.11227989534,annual,90000
465,56,103971.13739792288,annual,90000
466,32,14001.425334833166,annual,90000
467,36,18028.394480813804,annual,90000
468,22,7804.128047730211,annual,90000
469,47,40287.23051242681,annual,90000
470,20,6982.407484340589,annual,90000
471,53,71707.43124514962,annual,90000
472,54,80452.67134089895,annual,90000
473,32,14001.425334833166,annual,90000
474,43,29326.793830249957,annual,90000
475,47,40287.23051242681,annual,90000
476,24,8736.184335389007,annual,90000
477,41,25334.5433005938,annual,90000
478,59,169428.32511477164,annual,90000
479,40,23605.002338179533,annual,90000
480,27,10382.300357586022,annual,90000
481,39,22025.409241364145,annual,90000
482,52,64351.806336214395,annual,90000
483,39,22025.409241364145,annual,90000
484,46,37076.00567602293,annual,90000
485,40,23605.002338179533,annual,90000
486,45,34210.588419718326,annual,90000
487,38,20578.799221523488,annual,90000
488,55,91005.81246955584,annual,90000
489,28,11008.601732360285,annual,90000
490,32,14001.425334833166,annual,90000
491,46,37076.00567602293,annual,90000
492,44,31641.11227989534,annual,90000
493,31,13171.057622254482,annual,90000
494,59,169428.32511477164,annual,90000
495,56,103971.13739792288,annual,90000
496,39,22025.409241364145,annual,90000
497,45,34210.588419718326,annual,90000
498,55,91005.81246955584,annual,90000
499,20,6982.407484340589,annual,90000
500,39,22025.409241364145,annual,90000
